reference,arm,metric,diff,ci_lo,ci_hi,p,p_method,n_groups,p_holm
keyword_regex_severity,gemini_2_5_flash__production,severity accuracy,0.634920634920635,0.46031746031746035,0.7936507936507935,4.9999750001249995e-06,monte carlo 200000,42,0.00045999770001149996
keyword_regex_severity,gemini_2_5_flash__production,status turbofan,0.38095238095238093,0.23015873015873017,0.5396825396825397,2.288818359375e-05,exact,42,0.00167083740234375
keyword_regex_severity,gemini_2_5_flash__production,status simulator,0.253968253968254,0.11904761904761904,0.39682539682539686,0.000732421875,exact,42,0.041015625
keyword_regex_severity,gemini_2_5_flash__production,status simulator_calibrated,0.4126984126984127,0.253968253968254,0.5793650793650794,1.4999925000374999e-05,monte carlo 200000,42,0.0011849940750296249
keyword_regex_severity,gemini_2_5_flash__semantic,severity accuracy,0.6587301587301587,0.47619047619047616,0.8253968253968255,4.9999750001249995e-06,monte carlo 200000,42,0.00045999770001149996
keyword_regex_severity,gemini_2_5_flash__semantic,status turbofan,0.36507936507936506,0.20634920634920634,0.5240079365079338,0.00014495849609375,exact,42,0.0095672607421875
keyword_regex_severity,gemini_2_5_flash__semantic,status simulator,0.253968253968254,0.08730158730158731,0.42063492063492064,0.00738525390625,exact,42,0.33233642578125
keyword_regex_severity,gemini_2_5_flash__semantic,status simulator_calibrated,0.373015873015873,0.19841269841269843,0.5476190476190477,0.00031499842500787496,monte carlo 200000,42,0.0188999055004725
keyword_regex_severity,gemini_2_5_flash_nothink__production,severity accuracy,0.6031746031746031,0.4603174603174603,0.746031746031746,4.9999750001249995e-06,monte carlo 200000,42,0.00045999770001149996
keyword_regex_severity,gemini_2_5_flash_nothink__production,status turbofan,0.38888888888888884,0.246031746031746,0.5396825396825398,1.52587890625e-05,exact,42,0.001190185546875
keyword_regex_severity,gemini_2_5_flash_nothink__production,status simulator,0.2857142857142857,0.16666666666666666,0.42857142857142855,0.00048828125,exact,42,0.02880859375
keyword_regex_severity,gemini_2_5_flash_nothink__production,status simulator_calibrated,0.42857142857142855,0.2777777777777778,0.5873015873015872,4.9999750001249995e-06,monte carlo 200000,42,0.00045999770001149996
keyword_regex_severity,gemini_3_5_flash__production,severity accuracy,0.6746031746031745,0.5317460317460317,0.8095238095238095,4.9999750001249995e-06,monte carlo 200000,42,0.00045999770001149996
keyword_regex_severity,gemini_3_5_flash__production,status turbofan,0.38095238095238093,0.23809523809523808,0.5317460317460317,1.52587890625e-05,exact,42,0.001190185546875
keyword_regex_severity,gemini_3_5_flash__production,status simulator,0.2698412698412698,0.14285714285714285,0.40476190476190477,0.00048828125,exact,42,0.02880859375
keyword_regex_severity,gemini_3_5_flash__production,status simulator_calibrated,0.4126984126984127,0.2619047619047619,0.5714285714285714,4.9999750001249995e-06,monte carlo 200000,42,0.00045999770001149996
keyword_regex_severity,gemini_3_5_flash__semantic,severity accuracy,0.7142857142857143,0.5714285714285714,0.8333333333333334,4.9999750001249995e-06,monte carlo 200000,42,0.00045999770001149996
keyword_regex_severity,gemini_3_5_flash__semantic,status turbofan,0.39682539682539675,0.25396825396825395,0.5476190476190477,1.52587890625e-05,exact,42,0.001190185546875
keyword_regex_severity,gemini_3_5_flash__semantic,status simulator,0.3253968253968254,0.19047619047619047,0.4682539682539682,0.0001220703125,exact,42,0.0081787109375
keyword_regex_severity,gemini_3_5_flash__semantic,status simulator_calibrated,0.42857142857142855,0.2777777777777778,0.5873015873015872,4.9999750001249995e-06,monte carlo 200000,42,0.00045999770001149996
keyword_regex_severity,gemma3_4b__production,severity accuracy,0.11904761904761904,-0.14285714285714285,0.38095238095238093,0.45889770551147246,monte carlo 200000,42,1.0
keyword_regex_severity,gemma3_4b__production,status turbofan,0.21428571428571427,-0.023809523809523808,0.42857142857142855,0.10819445902770486,monte carlo 200000,42,1.0
keyword_regex_severity,gemma3_4b__production,status simulator,-0.023809523809523808,-0.23809523809523808,0.19047619047619047,1.0,monte carlo 200000,42,1.0
keyword_regex_severity,gemma3_4b__production,status simulator_calibrated,0.12698412698412698,-0.12698412698412698,0.38095238095238093,0.35347823260883693,monte carlo 200000,42,1.0
keyword_regex_severity,gpt_oss_120b__production,severity accuracy,0.44444444444444436,0.30952380952380953,0.5793650793650793,4.9999750001249995e-06,monte carlo 200000,42,0.00045999770001149996
keyword_regex_severity,gpt_oss_120b__production,status turbofan,0.2698412698412698,0.15079365079365079,0.40476190476190477,0.000244140625,exact,42,0.015625
keyword_regex_severity,gpt_oss_120b__production,status simulator,0.1746031746031746,0.07142857142857142,0.29365079365079366,0.0078125,exact,42,0.34375
keyword_regex_severity,gpt_oss_120b__production,status simulator_calibrated,0.3015873015873015,0.1746031746031746,0.44444444444444436,9.1552734375e-05,exact,42,0.006317138671875
keyword_regex_severity,gpt_oss_120b__semantic,severity accuracy,0.626984126984127,0.43650793650793657,0.7936507936507935,4.9999750001249995e-06,monte carlo 200000,42,0.00045999770001149996
keyword_regex_severity,gpt_oss_120b__semantic,status turbofan,0.3333333333333333,0.16666666666666666,0.5,0.001312255859375,exact,42,0.069549560546875
keyword_regex_severity,gpt_oss_120b__semantic,status simulator,0.23809523809523808,0.07936507936507936,0.40476190476190477,0.010162353515625,exact,42,0.396331787109375
keyword_regex_severity,gpt_oss_120b__semantic,status simulator_calibrated,0.38888888888888895,0.21428571428571427,0.5714285714285714,0.00020999895000524998,monte carlo 200000,42,0.013649931750341248
keyword_regex_severity,llama3_2_3b__production,severity accuracy,0.35714285714285715,0.16666666666666666,0.5476190476190477,0.001534992325038375,monte carlo 200000,42,0.07674961625191874
keyword_regex_severity,llama3_2_3b__production,status turbofan,0.3492063492063492,0.19047619047619047,0.507936507936508,0.000274658203125,exact,42,0.01702880859375
keyword_regex_severity,llama3_2_3b__production,status simulator,0.2619047619047619,0.11904761904761904,0.40476190476190477,0.00341796875,exact,42,0.16064453125
keyword_regex_severity,llama3_2_3b__production,status simulator_calibrated,0.3650793650793651,0.19047619047619047,0.5396825396825397,0.00029499852500737496,monte carlo 200000,42,0.017994910025449874
keyword_regex_severity,qwen3_4b__production,severity accuracy,0.2857142857142857,0.09523809523809523,0.47619047619047616,0.01181793212890625,exact,42,0.4453125
keyword_regex_severity,qwen3_4b__production,status turbofan,0.2857142857142857,0.07142857142857142,0.47619047619047616,0.01712991435042825,monte carlo 200000,42,0.6166769166154169
keyword_regex_severity,qwen3_4b__production,status simulator,0.21428571428571427,0.023809523809523808,0.40476190476190477,0.063568115234375,exact,42,1.0
keyword_regex_severity,qwen3_4b__production,status simulator_calibrated,0.246031746031746,0.023809523809523798,0.46825396825396826,0.04627476862615687,monte carlo 200000,42,1.0
keyword_regex_severity,qwen3_8_27b__production,severity accuracy,0.7142857142857143,0.5714285714285714,0.8333333333333334,4.9999750001249995e-06,monte carlo 200000,42,0.00045999770001149996
keyword_regex_severity,qwen3_8_27b__production,status turbofan,0.40476190476190477,0.2619047619047619,0.5476190476190477,1.52587890625e-05,exact,42,0.001190185546875
keyword_regex_severity,qwen3_8_27b__production,status simulator,0.30952380952380953,0.16666666666666666,0.4523809523809524,0.000244140625,exact,42,0.015625
keyword_regex_severity,qwen3_8_27b__production,status simulator_calibrated,0.44444444444444436,0.30158730158730157,0.6031746031746031,1.9073486328125e-06,exact,42,0.00018310546875
keyword_regex_severity,qwen3_8_27b__semantic,severity accuracy,0.6904761904761905,0.5238095238095238,0.8333333333333334,4.9999750001249995e-06,monte carlo 200000,42,0.00045999770001149996
keyword_regex_severity,qwen3_8_27b__semantic,status turbofan,0.40476190476190477,0.2619047619047619,0.5476190476190477,1.52587890625e-05,exact,42,0.001190185546875
keyword_regex_severity,qwen3_8_27b__semantic,status simulator,0.2857142857142857,0.16666666666666666,0.42857142857142855,0.00048828125,exact,42,0.02880859375
keyword_regex_severity,qwen3_8_27b__semantic,status simulator_calibrated,0.44444444444444436,0.30158730158730157,0.6031746031746031,1.9073486328125e-06,exact,42,0.00018310546875
embedding_severity,gemini_2_5_flash__production,severity accuracy,0.373015873015873,0.20634920634920637,0.5317460317460319,0.000110626220703125,exact,42,0.0075225830078125
embedding_severity,gemini_2_5_flash__production,status turbofan,0.16666666666666666,0.047619047619047616,0.3015873015873016,0.0234375,exact,42,0.8203125
embedding_severity,gemini_2_5_flash__production,status simulator,0.0634920634920635,-0.11904761904761904,0.24603174603174605,0.515594482421875,exact,42,1.0
embedding_severity,gemini_2_5_flash__production,status simulator_calibrated,0.21428571428571427,0.0873015873015873,0.35714285714285715,0.004638671875,exact,42,0.21337890625
