reference,arm,metric,diff,ci_lo,ci_hi,p,p_method,n_groups,p_holm
keyword_regex_severity,qwen3_4b__production,status turbofan,0.09629629629629632,-0.13703703703703707,0.34074074074074073,0.46728515625,exact,18,1.0
keyword_regex_severity,qwen3_4b__production,status simulator,-0.10740740740740742,-0.2777777777777778,0.08148148148148146,0.271484375,exact,18,1.0
keyword_regex_severity,qwen3_4b__production,status simulator_calibrated,0.04074074074074075,-0.2444444444444444,0.33342592592592457,0.80206298828125,exact,18,1.0
keyword_regex_severity,qwen3_8_27b__production,severity accuracy,0.5,0.3111111111111111,0.6777777777777779,0.0009765625,exact,18,0.08984375
keyword_regex_severity,qwen3_8_27b__production,status turbofan,0.23703703703703707,0.08888888888888889,0.4074074074074074,0.03125,exact,18,1.0
keyword_regex_severity,qwen3_8_27b__production,status simulator,0.11481481481481483,0.0,0.24814814814814815,0.125,exact,18,1.0
keyword_regex_severity,qwen3_8_27b__production,status simulator_calibrated,0.24814814814814815,0.08148148148148149,0.42962962962962964,0.02734375,exact,18,1.0
keyword_regex_severity,qwen3_8_27b__semantic,severity accuracy,0.4,0.1444444444444445,0.6333333333333334,0.01080322265625,exact,18,0.85345458984375
keyword_regex_severity,qwen3_8_27b__semantic,status turbofan,0.12962962962962962,-0.06666666666666668,0.3444444444444444,0.28125,exact,18,1.0
keyword_regex_severity,qwen3_8_27b__semantic,status simulator,-0.02222222222222223,-0.15925925925925927,0.13703703703703704,0.8359375,exact,18,1.0
keyword_regex_severity,qwen3_8_27b__semantic,status simulator_calibrated,0.1925925925925926,-0.022222222222222223,0.4222222222222223,0.1279296875,exact,18,1.0
embedding_severity,gemini_2_5_flash__production,severity accuracy,0.3925925925925926,0.21481481481481485,0.5777777777777777,0.00048828125,exact,18,0.046875
embedding_severity,gemini_2_5_flash__production,status turbofan,0.05925925925925927,-0.04814814814814814,0.18148148148148147,0.390625,exact,18,1.0
embedding_severity,gemini_2_5_flash__production,status simulator,-0.07037037037037036,-0.2777777777777778,0.12222222222222223,0.548828125,exact,18,1.0
embedding_severity,gemini_2_5_flash__production,status simulator_calibrated,0.0851851851851852,0.0,0.1962962962962963,0.15625,exact,18,1.0
embedding_severity,gemini_2_5_flash__semantic,severity accuracy,0.32962962962962966,0.17037037037037037,0.5,0.0009765625,exact,18,0.08984375
embedding_severity,gemini_2_5_flash__semantic,status turbofan,-0.05925925925925926,-0.21490740740740735,0.08888888888888889,0.5244140625,exact,18,1.0
embedding_severity,gemini_2_5_flash__semantic,status simulator,-0.1222222222222222,-0.3148148148148148,0.05925925925925925,0.25537109375,exact,18,1.0
embedding_severity,gemini_2_5_flash__semantic,status simulator_calibrated,0.01851851851851852,-0.09259259259259259,0.13333333333333336,0.81640625,exact,18,1.0
embedding_severity,gemini_2_5_flash_nothink__production,severity accuracy,0.3888888888888889,0.20000000000000004,0.5777777777777778,0.00146484375,exact,18,0.12158203125
embedding_severity,gemini_2_5_flash_nothink__production,status turbofan,0.055555555555555566,-0.04814814814814815,0.18148148148148147,0.44921875,exact,18,1.0
embedding_severity,gemini_2_5_flash_nothink__production,status simulator,-0.02592592592592592,-0.22592592592592592,0.15555555555555556,0.8515625,exact,18,1.0
embedding_severity,gemini_2_5_flash_nothink__production,status simulator_calibrated,0.07037037037037037,-0.02962962962962963,0.1888888888888889,0.28125,exact,18,1.0
embedding_severity,gemini_3_5_flash__production,severity accuracy,0.41111111111111115,0.23333333333333334,0.588888888888889,0.00048828125,exact,18,0.046875
embedding_severity,gemini_3_5_flash__production,status turbofan,0.051851851851851864,-0.07037037037037036,0.18148148148148147,0.4609375,exact,18,1.0
embedding_severity,gemini_3_5_flash__production,status simulator,-0.06666666666666667,-0.28148148148148144,0.13333333333333333,0.5625,exact,18,1.0
embedding_severity,gemini_3_5_flash__production,status simulator_calibrated,0.08148148148148149,-0.007407407407407408,0.1925925925925926,0.15625,exact,18,1.0
