arm,checkpoint,style,status_match,n
llama3_2_3b__production,pronostia,typo50,0.6730769230769231,156
llama3_2_3b__production,simulator,typo25,0.6981132075471698,159
llama3_2_3b__production,simulator,typo50,0.6923076923076923,156
llama3_2_3b__production,simulator_calibrated,typo25,0.8616352201257862,159
llama3_2_3b__production,simulator_calibrated,typo50,0.8205128205128205,156
llama3_2_3b__production,turbofan,typo25,0.8867924528301887,159
llama3_2_3b__production,turbofan,typo50,0.8846153846153846,156
minilm_finetuned,pronostia,typo25,0.6729559748427673,159
minilm_finetuned,pronostia,typo50,0.6730769230769231,156
minilm_finetuned,simulator,typo25,0.9056603773584906,159
minilm_finetuned,simulator,typo50,0.8589743589743589,156
minilm_finetuned,simulator_calibrated,typo25,0.8930817610062893,159
minilm_finetuned,simulator_calibrated,typo50,0.8461538461538461,156
minilm_finetuned,turbofan,typo25,0.9056603773584906,159
minilm_finetuned,turbofan,typo50,0.8653846153846154,156
minilm_logreg,pronostia,typo25,0.6729559748427673,159
minilm_logreg,pronostia,typo50,0.6730769230769231,156
minilm_logreg,simulator,typo25,0.9811320754716981,159
minilm_logreg,simulator,typo50,0.8205128205128205,156
minilm_logreg,simulator_calibrated,typo25,0.9811320754716981,159
minilm_logreg,simulator_calibrated,typo50,0.8141025641025641,156
minilm_logreg,turbofan,typo25,0.9811320754716981,159
minilm_logreg,turbofan,typo50,0.8269230769230769,156
qwen3_4b__production,pronostia,typo25,0.6666666666666666,159
qwen3_4b__production,pronostia,typo50,0.6730769230769231,156
qwen3_4b__production,simulator,typo25,0.5849056603773585,159
qwen3_4b__production,simulator,typo50,0.5128205128205128,156
qwen3_4b__production,simulator_calibrated,typo25,0.7044025157232704,159
qwen3_4b__production,simulator_calibrated,typo50,0.6794871794871795,156
qwen3_4b__production,turbofan,typo25,0.7672955974842768,159
qwen3_4b__production,turbofan,typo50,0.717948717948718,156
qwen3_8_27b__production,pronostia,typo25,0.6666666666666666,159
qwen3_8_27b__production,pronostia,typo50,0.6730769230769231,156
qwen3_8_27b__production,simulator,typo25,0.8867924528301887,159
qwen3_8_27b__production,simulator,typo50,0.8782051282051282,156
qwen3_8_27b__production,simulator_calibrated,typo25,0.9811320754716981,159
qwen3_8_27b__production,simulator_calibrated,typo50,0.9871794871794872,156
qwen3_8_27b__production,turbofan,typo25,0.9874213836477987,159
qwen3_8_27b__production,turbofan,typo50,0.9935897435897436,156
tfidf_logreg,pronostia,typo25,0.6729559748427673,159
tfidf_logreg,pronostia,typo50,0.6730769230769231,156
tfidf_logreg,simulator,typo25,1.0,159
tfidf_logreg,simulator,typo50,0.9807692307692307,156
tfidf_logreg,simulator_calibrated,typo25,0.9874213836477987,159
tfidf_logreg,simulator_calibrated,typo50,0.9615384615384616,156
tfidf_logreg,turbofan,typo25,1.0,159
tfidf_logreg,turbofan,typo50,0.9807692307692307,156
