reference,arm,arm_accuracy,reference_accuracy,diff,ci_lo,ci_hi,p,p_method,n_groups,p_holm
keyword_regex_severity,gemini_2_5_flash__production,0.9206349206349206,0.2857142857142857,0.634920634920635,0.46031746031746035,0.7936507936507935,4.9999750001249995e-06,monte carlo 200000,42,4.4999775001124996e-05
keyword_regex_severity,gemini_2_5_flash_nothink__production,0.8888888888888888,0.2857142857142857,0.6031746031746031,0.4603174603174603,0.746031746031746,4.9999750001249995e-06,monte carlo 200000,42,4.4999775001124996e-05
keyword_regex_severity,gemini_3_5_flash__production,0.9603174603174603,0.2857142857142857,0.6746031746031745,0.5317460317460317,0.8095238095238095,4.9999750001249995e-06,monte carlo 200000,42,4.4999775001124996e-05
keyword_regex_severity,gpt_oss_120b__production,0.7301587301587301,0.2857142857142857,0.44444444444444436,0.30952380952380953,0.5793650793650793,4.9999750001249995e-06,monte carlo 200000,42,4.4999775001124996e-05
keyword_regex_severity,qwen3_8_27b__production,1.0,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.8333333333333334,4.9999750001249995e-06,monte carlo 200000,42,4.4999775001124996e-05
embedding_severity,gemini_2_5_flash__production,0.9206349206349206,0.5476190476190477,0.373015873015873,0.20634920634920637,0.5317460317460319,0.000110626220703125,exact,42,0.000331878662109375
embedding_severity,gemini_2_5_flash_nothink__production,0.8888888888888888,0.5476190476190477,0.3412698412698413,0.13492063492063494,0.5317460317460319,0.0027199864000679998,monte carlo 200000,42,0.0054399728001359995
embedding_severity,gemini_3_5_flash__production,0.9603174603174603,0.5476190476190477,0.4126984126984127,0.2619047619047619,0.5555555555555556,7.62939453125e-06,exact,42,4.4999775001124996e-05
embedding_severity,gpt_oss_120b__production,0.7301587301587301,0.5476190476190477,0.18253968253968256,-0.023809523809523794,0.38095238095238093,0.10488947555262224,monte carlo 200000,42,0.10488947555262224
embedding_severity,qwen3_8_27b__production,1.0,0.5476190476190477,0.4523809523809524,0.30952380952380953,0.5952380952380952,3.814697265625e-06,exact,42,3.814697265625e-05
