reference,arm,arm_accuracy,reference_accuracy,diff,ci_lo,ci_hi,p,p_method,n_groups,p_holm
bge_m3_logreg,gemini_2_5_flash__production,0.9206349206349206,0.6666666666666666,0.253968253968254,0.11904761904761904,0.39682539682539686,0.000732421875,exact,42,0.009521484375
bge_m3_logreg,gemini_2_5_flash_nothink__production,0.8888888888888888,0.6666666666666666,0.22222222222222224,0.047619047619047616,0.40476190476190477,0.021270751953125,exact,42,0.21270751953125
bge_m3_logreg,gemini_3_5_flash__production,0.9603174603174603,0.6666666666666666,0.29365079365079366,0.1507936507936508,0.4523809523809524,0.000244140625,exact,42,0.003662109375
bge_m3_logreg,gemma3_4b__production,0.40476190476190477,0.6666666666666666,-0.2619047619047619,-0.42857142857142855,-0.07142857142857142,0.012725830078125,exact,42,0.139984130859375
bge_m3_logreg,gpt_oss_120b__production,0.7301587301587301,0.6666666666666666,0.0634920634920635,-0.14285714285714285,0.2698412698412698,0.5982820085899571,monte carlo 200000,42,1.0
bge_m3_logreg,llama3_2_3b__production,0.6428571428571429,0.6666666666666666,-0.023809523809523808,-0.23809523809523808,0.19047619047619047,1.0,monte carlo 200000,42,1.0
bge_m3_logreg,qwen3_4b__production,0.5714285714285714,0.6666666666666666,-0.09523809523809523,-0.2857142857142857,0.09523809523809523,0.480682373046875,exact,42,1.0
bge_m3_logreg,qwen3_8_27b__production,1.0,0.6666666666666666,0.3333333333333333,0.19047619047619047,0.47619047619047616,0.0001220703125,exact,42,0.001953125
bge_m3_logreg_indomain,gemini_2_5_flash__production,0.9206349206349206,0.7857142857142857,0.13492063492063494,-0.01587301587301587,0.29365079365079366,0.105712890625,exact,42,0.739990234375
bge_m3_logreg_indomain,gemini_2_5_flash_nothink__production,0.8888888888888888,0.7857142857142857,0.10317460317460318,-0.047619047619047616,0.2619047619047619,0.2265625,exact,42,1.0
bge_m3_logreg_indomain,gemini_3_5_flash__production,0.9603174603174603,0.7857142857142857,0.17460317460317462,0.047619047619047616,0.30952380952380953,0.021484375,exact,42,0.21270751953125
bge_m3_logreg_indomain,gemma3_4b__production,0.40476190476190477,0.7857142857142857,-0.38095238095238093,-0.5476190476190477,-0.19047619047619047,0.0004024505615234375,exact,42,0.005634307861328125
bge_m3_logreg_indomain,gpt_oss_120b__production,0.7301587301587301,0.7857142857142857,-0.05555555555555554,-0.19841269841269837,0.09523809523809523,0.54058837890625,exact,42,1.0
bge_m3_logreg_indomain,llama3_2_3b__production,0.6428571428571429,0.7857142857142857,-0.14285714285714285,-0.3333333333333333,0.047619047619047616,0.210113525390625,exact,42,1.0
bge_m3_logreg_indomain,qwen3_4b__production,0.5714285714285714,0.7857142857142857,-0.21428571428571427,-0.38095238095238093,-0.023809523809523808,0.049041748046875,exact,42,0.392333984375
bge_m3_logreg_indomain,qwen3_8_27b__production,1.0,0.7857142857142857,0.21428571428571427,0.09523809523809523,0.3333333333333333,0.00390625,exact,42,0.046875
