arm,checkpoint,style,status_match,n
fixed_midrange,simulator_calibrated,consequence,0.625,24
fixed_midrange,simulator_calibrated,jargon,0.5833333333333334,24
fixed_midrange,simulator_calibrated,negation,0.6666666666666666,18
fixed_midrange,simulator_calibrated,quantitative,0.5555555555555556,18
fixed_midrange,simulator_calibrated,terse,0.5555555555555556,9
fixed_midrange,simulator_calibrated,understated,0.8,15
fixed_midrange,turbofan,codemixed,0.6666666666666666,18
fixed_midrange,turbofan,consequence,0.625,24
fixed_midrange,turbofan,jargon,0.625,24
fixed_midrange,turbofan,negation,0.6666666666666666,18
fixed_midrange,turbofan,quantitative,0.6666666666666666,18
fixed_midrange,turbofan,terse,0.6666666666666666,9
fixed_midrange,turbofan,understated,0.8,15
gemini_2_5_flash__production,pronostia,codemixed,0.6666666666666666,18
gemini_2_5_flash__production,pronostia,consequence,0.625,24
gemini_2_5_flash__production,pronostia,jargon,0.625,24
gemini_2_5_flash__production,pronostia,negation,0.6666666666666666,18
gemini_2_5_flash__production,pronostia,quantitative,0.6666666666666666,18
gemini_2_5_flash__production,pronostia,terse,0.6666666666666666,9
gemini_2_5_flash__production,pronostia,understated,0.8,15
gemini_2_5_flash__production,simulator,codemixed,0.7222222222222222,18
gemini_2_5_flash__production,simulator,consequence,0.7916666666666666,24
gemini_2_5_flash__production,simulator,jargon,0.75,24
gemini_2_5_flash__production,simulator,negation,0.8333333333333334,18
gemini_2_5_flash__production,simulator,quantitative,0.8333333333333334,18
gemini_2_5_flash__production,simulator,terse,1.0,9
gemini_2_5_flash__production,simulator,understated,1.0,15
gemini_2_5_flash__production,simulator_calibrated,codemixed,0.9444444444444444,18
gemini_2_5_flash__production,simulator_calibrated,consequence,0.875,24
gemini_2_5_flash__production,simulator_calibrated,jargon,1.0,24
gemini_2_5_flash__production,simulator_calibrated,negation,1.0,18
gemini_2_5_flash__production,simulator_calibrated,quantitative,1.0,18
gemini_2_5_flash__production,simulator_calibrated,terse,1.0,9
gemini_2_5_flash__production,simulator_calibrated,understated,1.0,15
gemini_2_5_flash__production,turbofan,codemixed,1.0,18
gemini_2_5_flash__production,turbofan,consequence,0.9166666666666666,24
gemini_2_5_flash__production,turbofan,jargon,0.9583333333333334,24
gemini_2_5_flash__production,turbofan,negation,0.8333333333333334,18
gemini_2_5_flash__production,turbofan,quantitative,1.0,18
gemini_2_5_flash__production,turbofan,terse,1.0,9
gemini_2_5_flash__production,turbofan,understated,1.0,15
gemini_2_5_flash__semantic,pronostia,codemixed,0.6666666666666666,18
gemini_2_5_flash__semantic,pronostia,consequence,0.625,24
gemini_2_5_flash__semantic,pronostia,jargon,0.625,24
gemini_2_5_flash__semantic,pronostia,negation,0.6666666666666666,18
gemini_2_5_flash__semantic,pronostia,quantitative,0.6666666666666666,18
gemini_2_5_flash__semantic,pronostia,terse,0.6666666666666666,9
gemini_2_5_flash__semantic,pronostia,understated,0.8,15
gemini_2_5_flash__semantic,simulator,codemixed,0.6666666666666666,18
gemini_2_5_flash__semantic,simulator,consequence,0.9583333333333334,24
gemini_2_5_flash__semantic,simulator,jargon,0.75,24
gemini_2_5_flash__semantic,simulator,negation,0.8333333333333334,18
gemini_2_5_flash__semantic,simulator,quantitative,0.8333333333333334,18
gemini_2_5_flash__semantic,simulator,terse,0.6666666666666666,9
gemini_2_5_flash__semantic,simulator,understated,1.0,15
gemini_2_5_flash__semantic,simulator_calibrated,codemixed,0.9444444444444444,18
gemini_2_5_flash__semantic,simulator_calibrated,consequence,0.9166666666666666,24
gemini_2_5_flash__semantic,simulator_calibrated,jargon,0.875,24
gemini_2_5_flash__semantic,simulator_calibrated,negation,1.0,18
gemini_2_5_flash__semantic,simulator_calibrated,quantitative,1.0,18
gemini_2_5_flash__semantic,simulator_calibrated,terse,0.6666666666666666,9
gemini_2_5_flash__semantic,simulator_calibrated,understated,1.0,15
gemini_2_5_flash__semantic,turbofan,codemixed,1.0,18
gemini_2_5_flash__semantic,turbofan,consequence,0.9583333333333334,24
gemini_2_5_flash__semantic,turbofan,jargon,0.9583333333333334,24
gemini_2_5_flash__semantic,turbofan,negation,0.8333333333333334,18
gemini_2_5_flash__semantic,turbofan,quantitative,1.0,18
gemini_2_5_flash__semantic,turbofan,terse,0.6666666666666666,9
