arm,zero_shot,few_shot,diff,ci_lo,ci_hi,p,diff_university_mean
gemini_2_5_flash__production,0.35,0.43,0.08,0.036585365853658534,0.09876543209876543,0.375,0.0476193497224425
gemini_2_5_flash_nothink__production,0.3333333333333333,0.4066666666666667,0.07333333333333333,0.04878048780487805,0.10273972602739725,0.25,0.06223314829500397
gemini_3_5_flash__production,0.32666666666666666,0.43666666666666665,0.11,0.06521739130434782,0.1643835616438356,0.25,0.09508168120539255
gemma3_4b__production,0.36666666666666664,0.38666666666666666,0.02,-0.01282051282051282,0.03153153153153153,0.5,0.011885804916732752
gpt_oss_120b__production,0.32666666666666666,0.35,0.023333333333333334,-0.05128205128205128,0.08181818181818182,0.75,0.01181126090404441
llama3_2_3b__production,0.38333333333333336,0.32,-0.06333333333333334,-0.11235955056179775,0.01282051282051282,0.875,-0.012889770023790638
qwen3_4b__production,0.3566666666666667,0.42,0.06333333333333334,0.0,0.23076923076923078,0.5,0.0718080888183981
qwen3_8_27b__production,0.3433333333333333,0.36666666666666664,0.023333333333333334,-0.028985507246376812,0.14102564102564102,1.0,0.03430769230769231
