xs2_scaled,xs3_scaled,xs4_scaled,rul
0.05,0.05,0.05,38.232032775878906
0.05,0.05,0.11428571428571428,42.68722915649414
0.05,0.05,0.17857142857142855,46.94517135620117
0.05,0.05,0.24285714285714283,50.753719329833984
0.05,0.05,0.3071428571428571,54.8955078125
0.05,0.05,0.3714285714285714,58.97859573364258
0.05,0.05,0.43571428571428567,64.82564544677734
0.05,0.05,0.49999999999999994,69.09085083007812
0.05,0.05,0.5642857142857143,73.66242980957031
0.05,0.05,0.6285714285714286,78.11798095703125
0.05,0.05,0.6928571428571428,82.83181762695312
0.05,0.05,0.7571428571428571,85.477783203125
0.05,0.05,0.8214285714285714,86.67903900146484
0.05,0.05,0.8857142857142857,87.32035827636719
0.05,0.05,0.95,87.69795989990234
0.05,0.11428571428571428,0.05,36.07799530029297
0.05,0.11428571428571428,0.11428571428571428,40.085113525390625
0.05,0.11428571428571428,0.17857142857142855,44.672855377197266
0.05,0.11428571428571428,0.24285714285714283,48.684932708740234
0.05,0.11428571428571428,0.3071428571428571,52.82278823852539
0.05,0.11428571428571428,0.3714285714285714,56.76909637451172
0.05,0.11428571428571428,0.43571428571428567,62.52265930175781
0.05,0.11428571428571428,0.49999999999999994,66.9550552368164
0.05,0.11428571428571428,0.5642857142857143,71.54829406738281
0.05,0.11428571428571428,0.6285714285714286,76.99962615966797
0.05,0.11428571428571428,0.6928571428571428,81.66483306884766
0.05,0.11428571428571428,0.7571428571428571,83.67179107666016
0.05,0.11428571428571428,0.8214285714285714,85.1887435913086
0.05,0.11428571428571428,0.8857142857142857,86.0555648803711
0.05,0.11428571428571428,0.95,86.64173889160156
0.05,0.17857142857142855,0.05,34.63277053833008
0.05,0.17857142857142855,0.11428571428571428,37.58495330810547
0.05,0.17857142857142855,0.17857142857142855,41.816139221191406
0.05,0.17857142857142855,0.24285714285714283,46.488243103027344
0.05,0.17857142857142855,0.3071428571428571,50.39209747314453
0.05,0.17857142857142855,0.3714285714285714,54.43303298950195
0.05,0.17857142857142855,0.43571428571428567,58.55576705932617
0.05,0.17857142857142855,0.49999999999999994,64.64034271240234
0.05,0.17857142857142855,0.5642857142857143,69.27738189697266
0.05,0.17857142857142855,0.6285714285714286,74.9964370727539
0.05,0.17857142857142855,0.6928571428571428,79.1824722290039
0.05,0.17857142857142855,0.7571428571428571,81.41373443603516
0.05,0.17857142857142855,0.8214285714285714,82.55323791503906
0.05,0.17857142857142855,0.8857142857142857,83.34723663330078
0.05,0.17857142857142855,0.95,83.8108901977539
0.05,0.24285714285714283,0.05,33.35401153564453
0.05,0.24285714285714283,0.11428571428571428,35.65489196777344
0.05,0.24285714285714283,0.17857142857142855,39.34946060180664
0.05,0.24285714285714283,0.24285714285714283,43.81908416748047
0.05,0.24285714285714283,0.3071428571428571,48.13884353637695
0.05,0.24285714285714283,0.3714285714285714,52.21261215209961
0.05,0.24285714285714283,0.43571428571428567,56.452754974365234
0.05,0.24285714285714283,0.49999999999999994,62.4732551574707
0.05,0.24285714285714283,0.5642857142857143,66.84420776367188
0.05,0.24285714285714283,0.6285714285714286,70.86152648925781
0.05,0.24285714285714283,0.6928571428571428,75.25743865966797
0.05,0.24285714285714283,0.7571428571428571,77.61164855957031
0.05,0.24285714285714283,0.8214285714285714,78.76931762695312
0.05,0.24285714285714283,0.8857142857142857,79.30320739746094
0.05,0.24285714285714283,0.95,79.18255615234375
0.05,0.3071428571428571,0.05,32.24614334106445
0.05,0.3071428571428571,0.11428571428571428,34.118648529052734
0.05,0.3071428571428571,0.17857142857142855,36.94965362548828
0.05,0.3071428571428571,0.24285714285714283,41.09535217285156
0.05,0.3071428571428571,0.3071428571428571,45.959625244140625
0.05,0.3071428571428571,0.3714285714285714,49.99365997314453
0.05,0.3071428571428571,0.43571428571428567,54.12251663208008
0.05,0.3071428571428571,0.49999999999999994,59.88749694824219
0.05,0.3071428571428571,0.5642857142857143,63.40981674194336
0.05,0.3071428571428571,0.6285714285714286,66.7906723022461
0.05,0.3071428571428571,0.6928571428571428,69.7332534790039
0.05,0.3071428571428571,0.7571428571428571,71.6765365600586
0.05,0.3071428571428571,0.8214285714285714,73.13838195800781
0.05,0.3071428571428571,0.8857142857142857,73.46965026855469
0.05,0.3071428571428571,0.95,73.25833892822266
0.05,0.3714285714285714,0.05,31.39792823791504
0.05,0.3714285714285714,0.11428571428571428,32.95435333251953
0.05,0.3714285714285714,0.17857142857142855,35.320648193359375
0.05,0.3714285714285714,0.24285714285714283,39.224830627441406
0.05,0.3714285714285714,0.3071428571428571,43.620113372802734
0.05,0.3714285714285714,0.3714285714285714,47.695194244384766
0.05,0.3714285714285714,0.43571428571428567,51.699317932128906
0.05,0.3714285714285714,0.49999999999999994,56.316585540771484
0.05,0.3714285714285714,0.5642857142857143,59.74673080444336
0.05,0.3714285714285714,0.6285714285714286,62.47978210449219
0.05,0.3714285714285714,0.6928571428571428,64.46234893798828
0.05,0.3714285714285714,0.7571428571428571,65.40025329589844
0.05,0.3714285714285714,0.8214285714285714,66.32258605957031
0.05,0.3714285714285714,0.8857142857142857,67.28680419921875
0.05,0.3714285714285714,0.95,67.61610412597656
0.05,0.43571428571428567,0.05,30.566261291503906
0.05,0.43571428571428567,0.11428571428571428,31.96983528137207
0.05,0.43571428571428567,0.17857142857142855,34.11899948120117
0.05,0.43571428571428567,0.24285714285714283,37.489044189453125
0.05,0.43571428571428567,0.3071428571428571,41.66175842285156
0.05,0.43571428571428567,0.3714285714285714,45.69020462036133
0.05,0.43571428571428567,0.43571428571428567,48.79473876953125
0.05,0.43571428571428567,0.49999999999999994,51.63622283935547
0.05,0.43571428571428567,0.5642857142857143,53.95519256591797
0.05,0.43571428571428567,0.6285714285714286,56.800437927246094
0.05,0.43571428571428567,0.6928571428571428,59.389564514160156
0.05,0.43571428571428567,0.7571428571428571,59.89200973510742
0.05,0.43571428571428567,0.8214285714285714,60.521949768066406
0.05,0.43571428571428567,0.8857142857142857,61.35551452636719
0.05,0.43571428571428567,0.95,61.51395034790039
0.05,0.49999999999999994,0.05,29.823511123657227
0.05,0.49999999999999994,0.11428571428571428,31.128644943237305
0.05,0.49999999999999994,0.17857142857142855,33.022972106933594
