xs2_scaled,xs3_scaled,xs4_scaled,rul
0.05,0.05,0.05,71.20146942138672
0.05,0.05,0.11428571428571428,71.19739532470703
0.05,0.05,0.17857142857142855,71.19319915771484
0.05,0.05,0.24285714285714283,71.18894958496094
0.05,0.05,0.3071428571428571,71.1848373413086
0.05,0.05,0.3714285714285714,71.18102264404297
0.05,0.05,0.43571428571428567,71.17748260498047
0.05,0.05,0.49999999999999994,71.17391967773438
0.05,0.05,0.5642857142857143,71.1703109741211
0.05,0.05,0.6285714285714286,71.16669464111328
0.05,0.05,0.6928571428571428,71.1631088256836
0.05,0.05,0.7571428571428571,71.15953063964844
0.05,0.05,0.8214285714285714,71.15589141845703
0.05,0.05,0.8857142857142857,71.1522216796875
0.05,0.05,0.95,71.14852142333984
0.05,0.11428571428571428,0.05,71.14580535888672
0.05,0.11428571428571428,0.11428571428571428,71.14036560058594
0.05,0.11428571428571428,0.17857142857142855,71.13530731201172
0.05,0.11428571428571428,0.24285714285714283,71.13027954101562
0.05,0.11428571428571428,0.3071428571428571,71.12520599365234
0.05,0.11428571428571428,0.3714285714285714,71.12030029296875
0.05,0.11428571428571428,0.43571428571428567,71.1156234741211
0.05,0.11428571428571428,0.49999999999999994,71.11090087890625
0.05,0.11428571428571428,0.5642857142857143,71.10659790039062
0.05,0.11428571428571428,0.6285714285714286,71.10228729248047
0.05,0.11428571428571428,0.6928571428571428,71.09796905517578
0.05,0.11428571428571428,0.7571428571428571,71.09362030029297
0.05,0.11428571428571428,0.8214285714285714,71.08930206298828
0.05,0.11428571428571428,0.8857142857142857,71.08499145507812
0.05,0.11428571428571428,0.95,71.08063507080078
0.05,0.17857142857142855,0.05,71.07884216308594
0.05,0.17857142857142855,0.11428571428571428,71.0727310180664
0.05,0.17857142857142855,0.17857142857142855,71.06626892089844
0.05,0.17857142857142855,0.24285714285714283,71.0597915649414
0.05,0.17857142857142855,0.3071428571428571,71.05372619628906
0.05,0.17857142857142855,0.3714285714285714,71.04759216308594
0.05,0.17857142857142855,0.43571428571428567,71.04166412353516
0.05,0.17857142857142855,0.49999999999999994,71.03599548339844
0.05,0.17857142857142855,0.5642857142857143,71.0302505493164
0.05,0.17857142857142855,0.6285714285714286,71.02445220947266
0.05,0.17857142857142855,0.6928571428571428,71.01912689208984
0.05,0.17857142857142855,0.7571428571428571,71.0139389038086
0.05,0.17857142857142855,0.8214285714285714,71.00871276855469
0.05,0.17857142857142855,0.8857142857142857,71.00336456298828
0.05,0.17857142857142855,0.95,70.99769592285156
0.05,0.24285714285714283,0.05,70.9964370727539
0.05,0.24285714285714283,0.11428571428571428,70.989013671875
0.05,0.24285714285714283,0.17857142857142855,70.98146057128906
0.05,0.24285714285714283,0.24285714285714283,70.973876953125
0.05,0.24285714285714283,0.3071428571428571,70.96621704101562
0.05,0.24285714285714283,0.3714285714285714,70.95879364013672
0.05,0.24285714285714283,0.43571428571428567,70.95137023925781
0.05,0.24285714285714283,0.49999999999999994,70.94419860839844
