checkpoint,low,medium,high,strategy,n,match_rate,mean_rul,match_rate_expected_online,n_expected_online,match_rate_expected_offline,n_expected_offline,published_match_rate
simulator,0.15,0.15,0.4,minilm_finetuned,54,0.6666666666666666,54.25413488458704,1.0,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.4,minilm_logreg,54,0.6666666666666666,54.60934533013238,1.0,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.4,tfidf_logreg,54,0.6666666666666666,55.94181986208315,1.0,36,0.0,18,1.0
simulator,0.15,0.15,0.45,agentic,54,0.6666666666666666,57.127492869341815,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.45,bge_m3_logreg,54,0.6111111111111112,53.25230937533908,0.9166666666666666,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.45,embedding_severity,54,0.6666666666666666,56.6706747478909,1.0,36,0.0,18,1.0
simulator,0.15,0.15,0.45,fixed_midrange,54,0.6666666666666666,65.75484784444173,1.0,36,0.0,18,0.6666666666666666
simulator,0.15,0.15,0.45,gemini_3_5_flash,54,0.6666666666666666,56.95240670663339,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.45,groq_gpt_oss_120b,54,0.6666666666666666,57.93485528451425,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.45,groq_llama3,54,0.6481481481481481,55.51390213436551,0.9722222222222222,36,0.0,18,0.8703703703703703
simulator,0.15,0.15,0.45,groq_llama4,54,0.6666666666666666,56.646637775279856,1.0,36,0.0,18,0.7592592592592593
simulator,0.15,0.15,0.45,groq_qwen3_8,54,0.6666666666666666,57.88367610507541,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.45,keyword_only,54,0.2222222222222222,31.96675858674226,0.3333333333333333,36,0.0,18,0.3888888888888889
simulator,0.15,0.15,0.45,keyword_regex_extended,54,0.6666666666666666,57.35821646231192,1.0,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.45,keyword_regex_severity,54,0.6666666666666666,57.35821646231192,1.0,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.45,minilm_finetuned,54,0.6666666666666666,53.2337053793448,1.0,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.45,minilm_logreg,54,0.6666666666666666,53.58891586021141,1.0,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.45,tfidf_logreg,54,0.6666666666666666,55.17086746074535,1.0,36,0.0,18,1.0
simulator,0.15,0.15,0.5,agentic,54,0.6666666666666666,56.2097042578238,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.5,bge_m3_logreg,54,0.6111111111111112,52.45196088155111,0.9166666666666666,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.5,embedding_severity,54,0.6666666666666666,55.985358732718005,1.0,36,0.0,18,1.0
simulator,0.15,0.15,0.5,fixed_midrange,54,0.6666666666666666,65.75484784444173,1.0,36,0.0,18,0.6666666666666666
simulator,0.15,0.15,0.5,gemini_3_5_flash,54,0.6666666666666666,56.0272473582515,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.5,groq_gpt_oss_120b,54,0.6666666666666666,57.03207121955024,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.5,groq_llama3,54,0.6481481481481481,54.54526237205223,0.9722222222222222,36,0.0,18,0.8703703703703703
simulator,0.15,0.15,0.5,groq_llama4,54,0.6666666666666666,55.50954688036883,1.0,36,0.0,18,0.7592592592592593
simulator,0.15,0.15,0.5,groq_qwen3_8,54,0.6666666666666666,56.98206901550293,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.5,keyword_only,54,0.2037037037037037,29.95316862176966,0.3055555555555556,36,0.0,18,0.3888888888888889
simulator,0.15,0.15,0.5,keyword_regex_extended,54,0.6666666666666666,56.79004690382216,1.0,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.5,keyword_regex_severity,54,0.6666666666666666,56.79004690382216,1.0,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.5,minilm_finetuned,54,0.6481481481481481,52.34990384843614,0.9722222222222222,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.5,minilm_logreg,54,0.6481481481481481,52.70511432930275,0.9722222222222222,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.5,tfidf_logreg,54,0.6666666666666666,54.48555144557246,1.0,36,0.0,18,1.0
simulator,0.15,0.15,0.55,agentic,54,0.6666666666666666,55.32428684941045,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.55,bge_m3_logreg,54,0.6111111111111112,51.736846641257955,0.9166666666666666,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.55,embedding_severity,54,0.6666666666666666,55.37499565548367,1.0,36,0.0,18,1.0
simulator,0.15,0.15,0.55,fixed_midrange,54,0.6666666666666666,65.75484784444173,1.0,36,0.0,18,0.6666666666666666
simulator,0.15,0.15,0.55,gemini_3_5_flash,54,0.6666666666666666,55.139269475583674,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.55,groq_gpt_oss_120b,54,0.6666666666666666,56.15584511227078,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.55,groq_llama3,54,0.6481481481481481,53.61991158238164,0.9722222222222222,36,0.0,18,0.8703703703703703
simulator,0.15,0.15,0.55,groq_llama4,54,0.6666666666666666,54.48585061673765,1.0,36,0.0,18,0.7592592592592593
simulator,0.15,0.15,0.55,groq_qwen3_8,54,0.6666666666666666,56.108331221121325,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.55,keyword_only,54,0.14814814814814814,28.222681080853498,0.2222222222222222,36,0.0,18,0.3888888888888889
simulator,0.15,0.15,0.55,keyword_regex_extended,54,0.6666666666666666,56.281960840578435,1.0,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.55,keyword_regex_severity,54,0.6666666666666666,56.281960840578435,1.0,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.55,minilm_finetuned,54,0.6296296296296297,51.591941586247195,0.9444444444444444,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.55,minilm_logreg,54,0.6296296296296297,51.947152067113805,0.9444444444444444,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.55,tfidf_logreg,54,0.6666666666666666,53.87518836833812,1.0,36,0.0,18,1.0
simulator,0.15,0.15,0.6,agentic,54,0.6666666666666666,54.501992755466034,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.6,bge_m3_logreg,54,0.6111111111111112,51.07533684483281,0.9166666666666666,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.6,embedding_severity,54,0.6666666666666666,54.80840089586046,1.0,36,0.0,18,1.0
simulator,0.15,0.15,0.6,fixed_midrange,54,0.6666666666666666,65.75484784444173,1.0,36,0.0,18,0.6666666666666666
simulator,0.15,0.15,0.6,gemini_3_5_flash,54,0.6666666666666666,54.31425921122233,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.6,groq_gpt_oss_120b,54,0.6666666666666666,55.33259441234447,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.6,groq_llama3,54,0.6481481481481481,52.76625915809914,0.9722222222222222,36,0.0,18,0.8703703703703703
simulator,0.15,0.15,0.6,groq_llama4,54,0.6296296296296297,53.58564210821081,0.9444444444444444,36,0.0,18,0.7592592592592593
simulator,0.15,0.15,0.6,groq_qwen3_8,54,0.6666666666666666,55.27268886566162,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.6,keyword_only,54,0.1111111111111111,26.66578893308286,0.16666666666666666,36,0.0,18,0.3888888888888889
simulator,0.15,0.15,0.6,keyword_regex_extended,54,0.6666666666666666,55.8104583952162,1.0,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.6,keyword_regex_severity,54,0.6666666666666666,55.8104583952162,1.0,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.6,minilm_finetuned,54,0.6111111111111112,50.91258970896403,0.9166666666666666,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.6,minilm_logreg,54,0.6111111111111112,51.26780022515191,0.9166666666666666,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.6,tfidf_logreg,54,0.6666666666666666,53.308593608714915,1.0,36,0.0,18,1.0
simulator,0.15,0.15,0.65,agentic,54,0.6666666666666666,53.74469562813088,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.65,bge_m3_logreg,54,0.6111111111111112,50.39075491163466,0.9166666666666666,36,0.0,18,0.9444444444444444
simulator,0.15,0.15,0.65,embedding_severity,54,0.6666666666666666,54.2105792010272,1.0,36,0.0,18,1.0
simulator,0.15,0.15,0.65,fixed_midrange,54,0.6666666666666666,65.75484784444173,1.0,36,0.0,18,0.6666666666666666
simulator,0.15,0.15,0.65,gemini_3_5_flash,54,0.6666666666666666,53.540585094028046,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.65,groq_gpt_oss_120b,54,0.6666666666666666,54.57252852121989,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.65,groq_llama3,54,0.6481481481481481,51.96061688882333,0.9722222222222222,36,0.0,18,0.8703703703703703
simulator,0.15,0.15,0.65,groq_llama4,54,0.6296296296296297,52.8121974379928,0.9444444444444444,36,0.0,18,0.7592592592592593
simulator,0.15,0.15,0.65,groq_qwen3_8,54,0.6666666666666666,54.47652223375108,1.0,36,0.0,18,0.8888888888888888
simulator,0.15,0.15,0.65,keyword_only,54,0.1111111111111111,25.072951634724934,0.16666666666666666,36,0.0,18,0.3888888888888889
simulator,0.15,0.15,0.65,keyword_regex_extended,54,0.6666666666666666,55.314682254084836,1.0,36,0.0,18,0.9444444444444444
