checkpoint,low,medium,high,strategy,n,match_rate,mean_rul,match_rate_expected_online,n_expected_online,match_rate_expected_offline,n_expected_offline
pronostia,0.15,0.15,0.45,fixed_midrange,108,0.6666666666666666,70.1003590159946,1.0,72,0.0,36
pronostia,0.15,0.15,0.45,gemini_3_5_flash,108,0.6666666666666666,78.4112024307251,1.0,72,0.0,36
pronostia,0.15,0.15,0.45,groq_gpt_oss_120b,108,0.6666666666666666,78.86147809911657,1.0,72,0.0,36
pronostia,0.15,0.15,0.45,groq_llama3,108,0.6666666666666666,77.1834167904324,1.0,72,0.0,36
pronostia,0.15,0.15,0.45,groq_llama4,108,0.6666666666666666,78.20841483716612,1.0,72,0.0,36
pronostia,0.15,0.15,0.45,groq_qwen3_8,108,0.6666666666666666,79.11059054621944,1.0,72,0.0,36
pronostia,0.15,0.15,0.45,keyword_only,108,0.6666666666666666,52.728138817681206,1.0,72,0.0,36
pronostia,0.15,0.15,0.45,keyword_regex_extended,108,0.6666666666666666,72.8111168190285,1.0,72,0.0,36
pronostia,0.15,0.15,0.45,keyword_regex_severity,108,0.6666666666666666,72.8111168190285,1.0,72,0.0,36
pronostia,0.15,0.15,0.45,minilm_finetuned,108,0.6666666666666666,70.32372642446447,1.0,72,0.0,36
pronostia,0.15,0.15,0.45,minilm_logreg,108,0.6666666666666666,71.64866092469957,1.0,72,0.0,36
pronostia,0.15,0.15,0.45,tfidf_logreg,108,0.6666666666666666,70.40181469034266,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,agentic,108,0.6666666666666666,78.14671859034786,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,bge_m3_logreg,108,0.6666666666666666,70.81154161029392,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,embedding_severity,108,0.6666666666666666,74.02062290686148,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,fixed_midrange,108,0.6666666666666666,70.1003590159946,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,gemini_3_5_flash,108,0.6666666666666666,78.00833997020015,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,groq_gpt_oss_120b,108,0.6666666666666666,78.50286817550659,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,groq_llama3,108,0.6666666666666666,76.69986030790541,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,groq_llama4,108,0.6666666666666666,77.78829397978606,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,groq_qwen3_8,108,0.6666666666666666,78.77262011280766,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,keyword_only,108,0.6666666666666666,51.64342104947126,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,keyword_regex_extended,108,0.6666666666666666,72.57510096938522,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,keyword_regex_severity,108,0.6666666666666666,72.57510096938522,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,minilm_finetuned,108,0.6666666666666666,69.90885425496984,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,minilm_logreg,108,0.6666666666666666,71.23378875520494,1.0,72,0.0,36
pronostia,0.15,0.15,0.5,tfidf_logreg,108,0.6666666666666666,70.15618424945407,1.0,72,0.0,36
pronostia,0.15,0.15,0.55,agentic,108,0.6666666666666666,77.51843821560895,1.0,72,0.0,36
pronostia,0.15,0.15,0.55,bge_m3_logreg,108,0.6666666666666666,70.51541323131985,1.0,72,0.0,36
pronostia,0.15,0.15,0.55,embedding_severity,108,0.6666666666666666,73.88907978269789,1.0,72,0.0,36
pronostia,0.15,0.15,0.55,fixed_midrange,108,0.6666666666666666,70.1003590159946,1.0,72,0.0,36
pronostia,0.15,0.15,0.55,gemini_3_5_flash,108,0.6666666666666666,77.35674997612283,1.0,72,0.0,36
pronostia,0.15,0.15,0.55,groq_gpt_oss_120b,108,0.6666666666666666,78.00035923498648,1.0,72,0.0,36
pronostia,0.15,0.15,0.55,groq_llama3,108,0.6666666666666666,75.94967262833207,1.0,72,0.0,36
pronostia,0.15,0.15,0.55,groq_llama4,108,0.6666666666666666,77.11616433108294,1.0,72,0.0,36
