Xs2_scaled,Xs3_scaled,Xs4_scaled,rul
0.05,0.05,0.05,76.0931167602539
0.05,0.05,0.11428571428571428,77.20327758789062
0.05,0.05,0.17857142857142855,78.84201049804688
0.05,0.05,0.24285714285714283,79.54090118408203
0.05,0.05,0.3071428571428571,80.8393325805664
0.05,0.05,0.3714285714285714,81.67105865478516
0.05,0.05,0.43571428571428567,82.8781509399414
0.05,0.05,0.49999999999999994,84.16661071777344
0.05,0.05,0.5642857142857143,85.38504028320312
0.05,0.05,0.6285714285714286,86.34410858154297
0.05,0.05,0.6928571428571428,87.05448150634766
0.05,0.05,0.7571428571428571,87.8285140991211
0.05,0.05,0.8214285714285714,88.5173110961914
0.05,0.05,0.8857142857142857,89.0911636352539
0.05,0.05,0.95,89.9803695678711
0.05,0.11428571428571428,0.05,74.2634048461914
0.05,0.11428571428571428,0.11428571428571428,75.84489440917969
0.05,0.11428571428571428,0.17857142857142855,77.13306427001953
0.05,0.11428571428571428,0.24285714285714283,78.65082550048828
0.05,0.11428571428571428,0.3071428571428571,79.8636703491211
0.05,0.11428571428571428,0.3714285714285714,81.07149505615234
0.05,0.11428571428571428,0.43571428571428567,82.18582153320312
0.05,0.11428571428571428,0.49999999999999994,83.54647064208984
0.05,0.11428571428571428,0.5642857142857143,84.93755340576172
0.05,0.11428571428571428,0.6285714285714286,86.25251007080078
0.05,0.11428571428571428,0.6928571428571428,87.39859771728516
0.05,0.11428571428571428,0.7571428571428571,88.36078643798828
0.05,0.11428571428571428,0.8214285714285714,89.28264617919922
0.05,0.11428571428571428,0.8857142857142857,89.85023498535156
0.05,0.11428571428571428,0.95,90.46858215332031
0.05,0.17857142857142855,0.05,35.17853927612305
0.05,0.17857142857142855,0.11428571428571428,39.27698516845703
0.05,0.17857142857142855,0.17857142857142855,75.13898468017578
0.05,0.17857142857142855,0.24285714285714283,76.7985610961914
0.05,0.17857142857142855,0.3071428571428571,77.91688537597656
0.05,0.17857142857142855,0.3714285714285714,79.49324798583984
0.05,0.17857142857142855,0.43571428571428567,82.75130462646484
0.05,0.17857142857142855,0.49999999999999994,84.35287475585938
0.05,0.17857142857142855,0.5642857142857143,85.22212982177734
0.05,0.17857142857142855,0.6285714285714286,86.7597427368164
0.05,0.17857142857142855,0.6928571428571428,87.76807403564453
0.05,0.17857142857142855,0.7571428571428571,88.2025375366211
0.05,0.17857142857142855,0.8214285714285714,88.68311309814453
0.05,0.17857142857142855,0.8857142857142857,89.25338745117188
0.05,0.17857142857142855,0.95,90.0429916381836
0.05,0.24285714285714283,0.05,29.376161575317383
0.05,0.24285714285714283,0.11428571428571428,31.66461753845215
0.05,0.24285714285714283,0.17857142857142855,34.25380325317383
0.05,0.24285714285714283,0.24285714285714283,68.5781478881836
0.05,0.24285714285714283,0.3071428571428571,76.52529907226562
0.05,0.24285714285714283,0.3714285714285714,80.47364044189453
0.05,0.24285714285714283,0.43571428571428567,82.4737777709961
0.05,0.24285714285714283,0.49999999999999994,82.16670989990234
0.05,0.24285714285714283,0.5642857142857143,83.01004028320312
0.05,0.24285714285714283,0.6285714285714286,85.3213882446289
0.05,0.24285714285714283,0.6928571428571428,87.07648468017578
0.05,0.24285714285714283,0.7571428571428571,87.91832733154297
0.05,0.24285714285714283,0.8214285714285714,88.26451110839844
0.05,0.24285714285714283,0.8857142857142857,88.99056243896484
0.05,0.24285714285714283,0.95,89.22669982910156
0.05,0.3071428571428571,0.05,25.447134017944336
0.05,0.3071428571428571,0.11428571428571428,25.635210037231445
0.05,0.3071428571428571,0.17857142857142855,27.936992645263672
0.05,0.3071428571428571,0.24285714285714283,30.189950942993164
0.05,0.3071428571428571,0.3071428571428571,33.121315002441406
0.05,0.3071428571428571,0.3714285714285714,71.9765396118164
0.05,0.3071428571428571,0.43571428571428567,76.11854553222656
0.05,0.3071428571428571,0.49999999999999994,79.24040985107422
0.05,0.3071428571428571,0.5642857142857143,80.57158660888672
0.05,0.3071428571428571,0.6285714285714286,81.37512969970703
0.05,0.3071428571428571,0.6928571428571428,82.29055786132812
0.05,0.3071428571428571,0.7571428571428571,82.89215850830078
0.05,0.3071428571428571,0.8214285714285714,83.16783905029297
0.05,0.3071428571428571,0.8857142857142857,83.28170013427734
0.05,0.3071428571428571,0.95,83.74922943115234
0.05,0.3714285714285714,0.05,18.164045333862305
0.05,0.3714285714285714,0.11428571428571428,20.686458587646484
0.05,0.3714285714285714,0.17857142857142855,21.477848052978516
0.05,0.3714285714285714,0.24285714285714283,23.3829402923584
0.05,0.3714285714285714,0.3071428571428571,26.046401977539062
0.05,0.3714285714285714,0.3714285714285714,28.47137451171875
0.05,0.3714285714285714,0.43571428571428567,39.097259521484375
0.05,0.3714285714285714,0.49999999999999994,66.34696960449219
0.05,0.3714285714285714,0.5642857142857143,69.9758071899414
0.05,0.3714285714285714,0.6285714285714286,71.91312408447266
0.05,0.3714285714285714,0.6928571428571428,73.13524627685547
0.05,0.3714285714285714,0.7571428571428571,73.91703033447266
0.05,0.3714285714285714,0.8214285714285714,74.55060577392578
0.05,0.3714285714285714,0.8857142857142857,74.29199981689453
0.05,0.3714285714285714,0.95,73.9283676147461
0.05,0.43571428571428567,0.05,10.971543312072754
0.05,0.43571428571428567,0.11428571428571428,13.066558837890625
0.05,0.43571428571428567,0.17857142857142855,16.92630958557129
0.05,0.43571428571428567,0.24285714285714283,18.76304054260254
0.05,0.43571428571428567,0.3071428571428571,20.127744674682617
0.05,0.43571428571428567,0.3714285714285714,21.08308219909668
0.05,0.43571428571428567,0.43571428571428567,22.05962371826172
0.05,0.43571428571428567,0.49999999999999994,23.1384334564209
0.05,0.43571428571428567,0.5642857142857143,24.346105575561523
0.05,0.43571428571428567,0.6285714285714286,26.087921142578125
0.05,0.43571428571428567,0.6928571428571428,39.37914276123047
0.05,0.43571428571428567,0.7571428571428571,57.61445236206055
0.05,0.43571428571428567,0.8214285714285714,62.18390655517578
0.05,0.43571428571428567,0.8857142857142857,62.31834411621094
0.05,0.43571428571428567,0.95,52.7495231628418
0.05,0.49999999999999994,0.05,7.9646759033203125
0.05,0.49999999999999994,0.11428571428571428,9.783974647521973
0.05,0.49999999999999994,0.17857142857142855,11.799351692199707
0.05,0.49999999999999994,0.24285714285714283,14.121835708618164
0.05,0.49999999999999994,0.3071428571428571,14.238629341125488
0.05,0.49999999999999994,0.3714285714285714,15.085089683532715
0.05,0.49999999999999994,0.43571428571428567,15.818113327026367
0.05,0.49999999999999994,0.49999999999999994,16.296802520751953
0.05,0.49999999999999994,0.5642857142857143,16.818201065063477
0.05,0.49999999999999994,0.6285714285714286,17.224197387695312
0.05,0.49999999999999994,0.6928571428571428,17.297449111938477
0.05,0.49999999999999994,0.7571428571428571,17.508188247680664
0.05,0.49999999999999994,0.8214285714285714,18.36808967590332
0.05,0.49999999999999994,0.8857142857142857,19.653282165527344
0.05,0.49999999999999994,0.95,21.05620765686035
0.05,0.5642857142857143,0.05,1.9431726932525635
0.05,0.5642857142857143,0.11428571428571428,3.497793197631836
0.05,0.5642857142857143,0.17857142857142855,5.3235764503479
0.05,0.5642857142857143,0.24285714285714283,6.500809669494629
0.05,0.5642857142857143,0.3071428571428571,7.58459997177124
0.05,0.5642857142857143,0.3714285714285714,8.259735107421875
0.05,0.5642857142857143,0.43571428571428567,8.85202693939209
0.05,0.5642857142857143,0.49999999999999994,9.168885231018066
0.05,0.5642857142857143,0.5642857142857143,8.92841625213623
0.05,0.5642857142857143,0.6285714285714286,8.932709693908691
